group	tag	smolt.year	date.M	length.M	date.R	length.R	time.MR	growth	growth.rate
fall	3D9.1BF0DECA49	2002	8/21/2001	76	5/6/2002	107	258	31	0.120155039
fall	3D9.1BF0DECA7D	2002	8/21/2001	66	5/6/2002	99	258	33	0.127906977
fall	3D9.1BF0DECCAB	2002	8/17/2001	54	6/4/2002	112	291	58	0.199312715
fall	3D9.1BF0E0692D	2002	8/24/2001	73	4/24/2002	110	243	37	0.152263374
fall	3D9.1BF0E06C9D	2002	8/16/2001	62	5/30/2002	117	287	55	0.191637631
fall	3D9.1BF0E06FC3	2002	8/16/2001	74	5/28/2002	113	285	39	0.136842105
fall	3D9.1BF0E07283	2002	8/16/2001	66	4/24/2002	95	251	29	0.115537849
fall	3D9.1BF0E07513	2002	8/16/2001	62	5/23/2002	122	280	60	0.214285714
fall	3D9.1BF0E075CA	2002	8/16/2001	64	5/30/2002	104	287	40	0.139372822
fall	3D9.1BF0E07776	2002	8/16/2001	72	6/2/2002	122	290	50	0.172413793
fall	3D9.1BF0E07E1B	2002	8/22/2001	75	5/6/2002	110	257	35	0.13618677
fall	3D9.1BF0E09407	2002	8/16/2001	65	5/6/2002	107	263	42	0.159695817
fall	3D9.1BF0E0AF54	2002	8/16/2001	67	5/4/2002	104	261	37	0.141762452
fall	3D9.1BF0E0AFBA	2002	8/16/2001	58	6/2/2002	126	290	68	0.234482759
fall	3D9.1BF0E0AFD9	2002	8/24/2001	71	4/22/2002	103	241	32	0.132780083
fall	3D9.1BF0E0B16A	2002	8/22/2001	78	5/5/2002	116	256	38	0.1484375
fall	3D9.1BF0E0B3F4	2002	8/21/2001	74	6/2/2002	117	285	43	0.150877193
fall	3D9.1BF0E0B4FC	2002	8/25/2001	68	5/24/2002	118	272	50	0.183823529
fall	3D9.1BF0E0B57D	2002	8/21/2001	70	5/23/2002	118	275	48	0.174545455
fall	3D9.1BF0E0B66D	2002	8/27/2001	60	5/23/2002	107	269	47	0.17472119
fall	3D9.1BF0E0B871	2002	8/25/2001	63	5/4/2002	103	252	40	0.158730159
fall	3D9.1BF0E0B8B5	2002	8/27/2001	61	5/23/2002	114	269	53	0.197026022
fall	3D9.1BF0E0B8CD	2002	8/25/2001	63	5/6/2002	95	254	32	0.125984252
fall	3D9.1BF0E0B9DB	2002	8/25/2001	76	5/23/2002	93	271	17	0.062730627
fall	3D9.1BF0E0BA49	2002	8/16/2001	67	4/26/2002	105	253	38	0.150197628
fall	3D9.1BF0E0BACB	2002	8/21/2001	75	5/8/2002	111	260	36	0.138461538
fall	3D9.1BF0E0BBA3	2002	8/27/2001	73	5/2/2002	97	248	24	0.096774194
fall	3D9.1BF0E0BBE6	2002	8/21/2001	67	6/9/2002	106	292	39	0.133561644
fall	3D9.1BF0E0BC3B	2002	8/16/2001	71	5/23/2002	104	280	33	0.117857143
fall	3D9.1BF0E0BE24	2002	8/24/2001	80	5/4/2002	124	253	44	0.173913043
fall	3D9.1BF0E0BF40	2002	8/21/2001	72	6/4/2002	114	287	42	0.146341463
fall	3D9.1BF0E0C00C	2002	8/27/2001	64	5/6/2002	111	252	47	0.186507937
